invoice_id,branch,city,id_customer_type,customer_type,id_gender,gender,id_product,product_line,unit_price,quantity,tax_5%,total,date,time,id_payment,payment,cogs,gross_margin percentage,gross_income,rating
750-67-8428,1,Yangon,1,Member,1,Female,1,Health and beauty,74.69,7,261415,5489715,1/5/2019,13:08,3,Ewallet,522.83,4761904762,261415,9.1
226-31-3081,3,Naypyitaw,2,Normal,1,Female,2,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,1,Cash,76.4,4761904762,3.82,9.6
631-41-3108,1,Yangon,2,Normal,2,Male,3,Home and lifestyle,46.33,7,162155,3405255,3/3/2019,13:23,2,Credit card,324.31,4761904762,162155,7.4
123-19-1176,1,Yangon,1,Member,2,Male,1,Health and beauty,58.22,8,23288,489048,1/27/2019,20:33,3,Ewallet,465.76,4761904762,23288,8.4
373-73-7910,1,Yangon,2,Normal,2,Male,4,Sports and travel,86.31,7,302085,6343785,2/8/2019,10:37,3,Ewallet,604.17,4761904762,302085,5.3
699-14-3026,3,Naypyitaw,2,Normal,2,Male,2,Electronic accessories,85.39,7,298865,6276165,3/25/2019,18:30,3,Ewallet,597.73,4761904762,298865,4.1
355-53-5943,1,Yangon,1,Member,1,Female,2,Electronic accessories,68.84,6,20652,433692,2/25/2019,14:36,3,Ewallet,413.04,4761904762,20652,5.8
315-22-5665,3,Naypyitaw,2,Normal,1,Female,3,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,3,Ewallet,735.6,4761904762,36.78,8
665-32-9167,1,Yangon,1,Member,1,Female,1,Health and beauty,36.26,2,3626,76146,1/10/2019,17:15,2,Credit card,72.52,4761904762,3626,7.2
692-92-5582,2,Mandalay,1,Member,1,Female,5,Food and beverages,54.84,3,8226,172746,2/20/2019,13:27,2,Credit card,164.52,4761904762,8226,5.9
351-62-0822,2,Mandalay,1,Member,1,Female,6,Fashion accessories,14.48,4,2896,60816,2/6/2019,18:07,3,Ewallet,57.92,4761904762,2896,4.5
529-56-3974,2,Mandalay,1,Member,2,Male,2,Electronic accessories,25.51,4,5102,107142,3/9/2019,17:03,1,Cash,102.04,4761904762,5102,6.8
365-64-0515,1,Yangon,2,Normal,1,Female,2,Electronic accessories,46.95,5,11.7375,2464875,2/12/2019,10:25,3,Ewallet,234.75,4761904762,11.7375,7.1
252-56-2699,1,Yangon,2,Normal,2,Male,5,Food and beverages,43.19,10,21595,453495,2/7/2019,16:48,3,Ewallet,431.9,4761904762,21595,8.2
829-34-3910,1,Yangon,2,Normal,1,Female,1,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,1,Cash,713.8,4761904762,35.69,5.7
